agent_id,seq_no,node_id,timestamp,timestamp_in_min,trip_time_in_min,travel_time_in_sec,waiting_time_in_simu_interval,x_coord,y_coord
101,2,4,T0734:16.000,454.26666,15.850006,900.0000,0,19.700000,-9.700000
102,1,1,T0718:31.250,438.52084,0.000000,952.7490,210,0.000000,-0.100000
102,2,4,T0734:24.000,454.39999,15.879150,900.0000,0,19.700000,-9.700000
103,1,1,T0718:40.499,438.67499,0.000000,955.5011,222,0.000000,-0.100000
103,2,4,T0734:36.000,454.60001,15.925018,900.0000,0,19.700000,-9.700000
104,1,1,T0718:49.500,438.82501,0.000000,954.4995,217,0.000000,-0.100000
104,2,4,T0734:44.000,454.73334,15.908325,900.0000,0,19.700000,-9.700000
105,1,1,T0718:55.750,438.92917,0.000000,957.2498,228,0.000000,-0.100000
105,2,4,T0734:53.000,454.88333,15.954163,900.0000,0,19.700000,-9.700000
106,1,1,T0719:05.000,439.08334,0.000000,955.9991,223,0.000000,-0.100000
106,2,4,T0735:01.000,455.01666,15.933319,900.0000,0,19.700000,-9.700000
107,1,1,T0719:14.249,439.23749,0.000000,955.7501,223,0.000000,-0.100000
107,2,4,T0735:10.000,455.16666,15.929169,900.0000,0,19.700000,-9.700000
108,1,1,T0719:20.249,439.33749,0.000000,956.7499,226,0.000000,-0.100000
108,2,4,T0735:17.000,455.28333,15.945831,900.0000,0,19.700000,-9.700000
109,1,1,T0719:29.500,439.49167,0.000000,956.4990,225,0.000000,-0.100000
109,2,4,T0735:26.000,455.43332,15.941650,900.0000,0,19.700000,-9.700000
110,1,1,T0719:38.750,439.64584,0.000000,954.2487,216,0.000000,-0.100000
110,2,4,T0735:33.000,455.54999,15.904144,900.0000,0,19.700000,-9.700000
111,1,1,T0719:44.749,439.74582,0.000000,956.2500,225,0.000000,-0.100000
111,2,4,T0735:41.000,455.68332,15.937500,900.0000,0,19.700000,-9.700000
112,1,1,T0719:54.000,439.89999,0.000000,955.0012,220,0.000000,-0.100000
