first_column,agent_id,o_zone_id,d_zone_id,path_id,display_code,impacted_flag,info_receiving_flag,diverted_flag,mode_type_no,mode_type,demand_period,volume,toll,departure_time,travel_time,distance_km,distance_mile,speed_kmph,speed_mph,waiting_time,max_link_waiting_time,max_wait_link,node_sequence,time_sequence,geometry
,43,1,2,0,0,0,0,0,0,auto,am,1,0,426.5726,20.0983,20.0000,12.4301,59.7066,37.1079,0.0,0.0,,1;3;2;,0706:40.250;0716:40.250;0726:40.250;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,44,1,2,0,0,0,0,0,0,auto,am,1,0,426.6254,20.0996,20.0000,12.4301,59.7027,37.1055,0.0,0.0,,1;3;2;,0706:43.500;0716:43.500;0726:43.500;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,45,1,2,0,0,0,0,0,0,auto,am,1,0,426.6283,20.1051,20.0000,12.4301,59.6865,37.0954,0.0,0.0,,1;3;2;,0706:43.500;0716:44.000;0726:44.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,46,1,2,0,0,0,0,0,0,auto,am,1,0,426.6811,20.0980,20.0000,12.4301,59.7073,37.1083,0.0,0.0,,1;3;2;,0706:46.750;0716:46.750;0726:46.750;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,47,1,2,0,0,0,0,0,0,auto,am,1,0,426.7340,20.0994,20.0000,12.4301,59.7034,37.1059,0.0,0.0,,1;3;2;,0706:50.000;0716:50.000;0726:50.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,48,1,2,0,0,0,0,0,0,auto,am,1,0,426.7368,20.1132,20.0000,12.4301,59.6624,37.0804,0.0,0.0,,1;3;2;,0706:50.000;0716:51.000;0726:51.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,49,1,2,0,0,0,0,0,0,auto,am,1,0,426.7897,20.0978,20.0000,12.4301,59.7079,37.1087,0.0,0.0,,1;3;2;,0706:53.250;0716:53.250;0726:53.250;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,50,1,2,0,0,0,0,0,0,auto,am,1,0,426.8425,20.0991,20.0000,12.4301,59.7040,37.1063,0.0,0.0,,1;3;2;,0706:56.500;0716:56.500;0726:56.500;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,51,1,2,0,0,0,0,0,0,auto,am,1,0,426.8454,20.1046,20.0000,12.4301,59.6878,37.0962,0.0,0.0,,1;3;2;,0706:56.500;0716:57.000;0726:57.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,52,1,2,0,0,0,0,0,0,auto,am,1,0,426.8982,20.0976,20.0000,12.4301,59.7086,37.1091,0.0,0.0,,1;3;2;,0706:59.749;0716:59.749;0726:59.749;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,53,1,2,0,0,0,0,0,0,auto,am,1,0,426.9511,20.0989,20.0000,12.4301,59.7047,37.1067,0.0,0.0,,1;3;2;,0707:03.000;0717:03.000;0727:03.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,54,1,2,0,0,0,0,0,0,auto,am,1,0,426.9539,20.1127,20.0000,12.4301,59.6637,37.0812,0.0,0.0,,1;3;2;,0707:03.000;0717:04.000;0727:04.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,55,1,2,0,0,0,0,0,0,auto,am,1,0,427.0068,20.0974,20.0000,12.4301,59.7092,37.1095,0.0,0.0,,1;3;2;,0707:06.249;0717:06.249;0727:06.249;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,56,1,2,0,0,0,0,0,0,auto,am,1,0,427.0596,20.0987,20.0000,12.4301,59.7053,37.1071,0.0,0.0,,1;3;2;,0707:09.499;0717:09.499;0727:09.499;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,57,1,2,0,0,0,0,0,0,auto,am,1,0,427.0625,20.1042,20.0000,12.4301,59.6890,37.0970,0.0,0.0,,1;3;2;,0707:09.499;0717:10.000;0727:10.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,58,1,2,0,0,0,0,0,0,auto,am,1,0,427.1153,20.0972,20.0000,12.4301,59.7099,37.1099,0.0,0.0,,1;3;2;,0707:12.749;0717:12.749;0727:12.749;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,59,1,2,0,0,0,0,0,0,auto,am,1,0,427.1682,20.0985,20.0000,12.4301,59.7060,37.1075,0.0,0.0,,1;3;2;,0707:16.000;0717:16.000;0727:16.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,60,1,2,0,0,0,0,0,0,auto,am,1,0,427.1710,20.1123,20.0000,12.4301,59.6650,37.0820,0.0,0.0,,1;3;2;,0707:16.250;0717:17.000;0727:17.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,61,1,2,0,0,0,0,0,0,auto,am,1,0,427.2239,20.0970,20.0000,12.4301,59.7105,37.1103,0.0,0.0,,1;3;2;,0707:19.249;0717:19.249;0727:19.249;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,62,1,2,0,0,0,0,0,0,auto,am,1,0,427.2767,20.0983,20.0000,12.4301,59.7066,37.1079,0.0,0.0,,1;3;2;,0707:22.500;0717:22.500;0727:22.500;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,63,1,2,0,0,0,0,0,0,auto,am,1,0,427.2796,20.1038,20.0000,12.4301,59.6903,37.0978,0.0,0.0,,1;3;2;,0707:22.750;0717:23.000;0727:23.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,64,1,2,0,0,0,0,0,0,auto,am,1,0,427.3324,20.0967,20.0000,12.4301,59.7112,37.1107,0.0,0.0,,1;3;2;,0707:25.750;0717:25.750;0727:25.750;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,65,1,2,0,0,0,0,0,0,auto,am,1,0,427.3853,20.0981,20.0000,12.4301,59.7073,37.1083,0.0,0.0,,1;3;2;,0707:29.000;0717:29.000;0727:29.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,66,1,2,0,0,0,0,0,0,auto,am,1,0,427.3881,20.1119,20.0000,12.4301,59.6663,37.0828,0.0,0.0,,1;3;2;,0707:29.249;0717:30.000;0727:30.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,67,1,2,0,0,0,0,0,0,auto,am,1,0,427.4410,20.0965,20.0000,12.4301,59.7118,37.1111,0.0,0.0,,1;3;2;,0707:32.250;0717:32.250;0727:32.250;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,68,1,2,0,0,0,0,0,0,auto,am,1,0,427.4938,20.0978,20.0000,12.4301,59.7079,37.1087,0.0,0.0,,1;3;2;,0707:35.500;0717:35.500;0727:35.500;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,69,1,2,0,0,0,0,0,0,auto,am,1,0,427.4967,20.1033,20.0000,12.4301,59.6916,37.0986,0.0,0.0,,1;3;2;,0707:35.749;0717:36.000;0727:36.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,70,1,2,0,0,0,0,0,0,auto,am,1,0,427.5495,20.0963,20.0000,12.4301,59.7125,37.1115,0.0,0.0,,1;3;2;,0707:38.750;0717:38.750;0727:38.750;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,71,1,2,0,0,0,0,0,0,auto,am,1,0,427.6024,20.0976,20.0000,12.4301,59.7086,37.1091,0.0,0.0,,1;3;2;,0707:42.000;0717:42.000;0727:42.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,72,1,2,0,0,0,0,0,0,auto,am,1,0,427.6052,20.1114,20.0000,12.4301,59.6675,37.0836,0.0,0.0,,1;3;2;,0707:42.249;0717:43.000;0727:43.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,73,1,2,0,0,0,0,0,0,auto,am,1,0,427.6581,20.0961,20.0000,12.4301,59.7131,37.1119,0.0,0.0,,1;3;2;,0707:45.250;0717:45.250;0727:45.250;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,74,1,2,0,0,0,0,0,0,auto,am,1,0,427.7109,20.0974,20.0000,12.4301,59.7092,37.1095,0.0,0.0,,1;3;2;,0707:48.499;0717:48.499;0727:48.499;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,75,1,2,0,0,0,0,0,0,auto,am,1,0,427.7138,20.1029,20.0000,12.4301,59.6929,37.0994,0.0,0.0,,1;3;2;,0707:48.750;0717:49.000;0727:49.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,76,1,2,0,0,0,0,0,0,auto,am,1,0,427.7666,20.0959,20.0000,12.4301,59.7138,37.1124,0.0,0.0,,1;3;2;,0707:51.749;0717:51.749;0727:51.749;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,77,1,2,0,0,0,0,0,0,auto,am,1,0,427.8195,20.0972,20.0000,12.4301,59.7099,37.1099,0.0,0.0,,1;3;2;,0707:55.000;0717:55.000;0727:55.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,78,1,2,0,0,0,0,0,0,auto,am,1,0,427.8223,20.1110,20.0000,12.4301,59.6688,37.0844,0.0,0.0,,1;3;2;,0707:55.250;0717:56.000;0727:56.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,79,1,2,0,0,0,0,0,0,auto,am,1,0,427.8752,20.0998,20.0000,12.4301,59.7020,37.1051,0.0,0.0,,1;3;2;,0707:58.500;0717:58.500;0727:58.500;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,80,1,2,0,0,0,0,0,0,auto,am,1,0,427.9280,20.0970,20.0000,12.4301,59.7105,37.1103,0.0,0.0,,1;3;2;,0708:01.499;0718:01.499;0728:01.499;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,81,1,2,0,0,0,0,0,0,auto,am,1,0,427.9309,20.1024,20.0000,12.4301,59.6942,37.1002,0.0,0.0,,1;3;2;,0708:01.750;0718:02.000;0728:02.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,82,1,2,0,0,0,0,0,0,auto,am,1,0,427.9837,20.0996,20.0000,12.4301,59.7027,37.1055,0.0,0.0,,1;3;2;,0708:05.000;0718:05.000;0728:05.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,83,1,2,0,0,0,0,0,0,auto,am,1,0,428.0366,20.0967,20.0000,12.4301,59.7112,37.1107,0.0,0.0,,1;3;2;,0708:08.000;0718:08.000;0728:08.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,84,1,2,0,0,0,0,0,0,auto,am,1,0,428.0394,20.1106,20.0000,12.4301,59.6701,37.0852,0.0,0.0,,1;3;2;,0708:08.250;0718:09.000;0728:09.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,85,1,2,0,0,0,0,0,0,auto,am,1,0,428.0923,20.0994,20.0000,12.4301,59.7033,37.1059,0.0,0.0,,1;3;2;,0708:11.500;0718:11.500;0728:11.500;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,86,1,2,0,0,0,0,0,0,auto,am,1,0,428.1451,20.0965,20.0000,12.4301,59.7118,37.1111,0.0,0.0,,1;3;2;,0708:14.500;0718:14.500;0728:14.500;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,87,1,2,0,0,0,0,0,0,auto,am,1,0,428.1480,20.1020,20.0000,12.4301,59.6955,37.1010,0.0,0.0,,1;3;2;,0708:14.749;0718:15.000;0728:15.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,88,1,2,0,0,0,0,0,0,auto,am,1,0,428.2008,20.0992,20.0000,12.4301,59.7040,37.1063,0.0,0.0,,1;3;2;,0708:18.000;0718:18.000;0728:18.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,89,1,2,0,0,0,0,0,0,auto,am,1,0,428.2537,20.0963,20.0000,12.4301,59.7125,37.1115,0.0,0.0,,1;3;2;,0708:21.000;0718:21.000;0728:21.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,90,1,2,0,0,0,0,0,0,auto,am,1,0,428.2565,20.1101,20.0000,12.4301,59.6714,37.0860,0.0,0.0,,1;3;2;,0708:21.249;0718:22.000;0728:22.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
