agent_id,seq_no,node_id,timestamp,timestamp_in_min,trip_time_in_min,travel_time_in_sec,waiting_time_in_simu_interval,x_coord,y_coord
135,2,3,T0719:59.000,439.98334,10.000000,600.0000,0,19.778254,14.806867
136,1,1,T0710:02.250,430.03751,0.000000,600.0000,0,0.017882,-0.125179
136,2,3,T0720:02.250,440.03751,10.000000,600.0000,0,19.778254,14.806867
137,1,1,T0710:05.249,430.08749,0.000000,600.0000,0,0.017882,-0.125179
137,2,3,T0720:05.249,440.08749,10.000000,600.0000,0,19.778254,14.806867
138,1,1,T0710:05.500,430.09167,0.000000,600.4999,1,0.017882,-0.125179
138,2,3,T0720:06.000,440.10001,10.008331,600.0000,0,19.778254,14.806867
139,1,1,T0710:08.750,430.14584,0.000000,600.0000,0,0.017882,-0.125179
139,2,3,T0720:08.750,440.14584,10.000000,600.0000,0,19.778254,14.806867
140,1,1,T0710:12.000,430.20001,0.000000,600.0000,0,0.017882,-0.125179
140,2,3,T0720:12.000,440.20001,10.000000,600.0000,0,19.778254,14.806867
141,1,1,T0710:12.249,430.20416,0.000000,600.7507,3,0.017882,-0.125179
141,2,3,T0720:13.000,440.21667,10.012512,600.0000,0,19.778254,14.806867
142,1,1,T0710:15.499,430.25833,0.000000,600.0000,0,0.017882,-0.125179
142,2,3,T0720:15.499,440.25833,10.000000,600.0000,0,19.778254,14.806867
143,1,1,T0710:18.750,430.31250,0.000000,600.0000,0,0.017882,-0.125179
143,2,3,T0720:18.750,440.31250,10.000000,600.0000,0,19.778254,14.806867
144,1,1,T0710:18.750,430.31250,0.000000,600.2509,1,0.017882,-0.125179
144,2,3,T0720:19.000,440.31668,10.004181,600.0000,0,19.778254,14.806867
145,1,1,T0710:22.000,430.36667,0.000000,600.0000,0,0.017882,-0.125179
145,2,3,T0720:22.000,440.36667,10.000000,600.0000,0,19.778254,14.806867
146,1,1,T0710:25.250,430.42084,0.000000,600.0000,0,0.017882,-0.125179
146,2,3,T0720:25.250,440.42084,10.000000,600.0000,0,19.778254,14.806867
147,1,1,T0710:25.499,430.42499,0.000000,600.0000,0,0.017882,-0.125179
147,2,3,T0720:25.499,440.42499,10.000000,600.0000,0,19.778254,14.806867
148,1,1,T0710:28.749,430.47916,0.000000,600.0000,0,0.017882,-0.125179
148,2,3,T0720:28.749,440.47916,10.000000,600.0000,0,19.778254,14.806867
149,1,1,T0710:32.000,430.53333,0.000000,600.0000,0,0.017882,-0.125179
149,2,3,T0720:32.000,440.53333,10.000000,600.0000,0,19.778254,14.806867
150,1,1,T0710:32.250,430.53751,0.000000,600.7489,2,0.017882,-0.125179
150,2,3,T0720:33.000,440.54999,10.012482,600.0000,0,19.778254,14.806867
151,1,1,T0710:35.500,430.59167,0.000000,600.0000,0,0.017882,-0.125179
151,2,3,T0720:35.500,440.59167,10.000000,600.0000,0,19.778254,14.806867
152,1,1,T0710:38.750,430.64584,0.000000,600.0000,0,0.017882,-0.125179
152,2,3,T0720:38.750,440.64584,10.000000,600.0000,0,19.778254,14.806867
153,1,1,T0710:39.000,430.64999,0.000000,600.0000,0,0.017882,-0.125179
153,2,3,T0720:39.000,440.64999,10.000000,600.0000,0,19.778254,14.806867
154,1,1,T0710:42.249,430.70416,0.000000,600.0000,0,0.017882,-0.125179
154,2,3,T0720:42.249,440.70416,10.000000,600.0000,0,19.778254,14.806867
155,1,1,T0710:45.499,430.75833,0.000000,600.0000,0,0.017882,-0.125179
155,2,3,T0720:45.499,440.75833,10.000000,600.0000,0,19.778254,14.806867
156,1,1,T0710:45.750,430.76251,0.000000,600.2490,0,0.017882,-0.125179
156,2,3,T0720:46.000,440.76666,10.004150,600.0000,0,19.778254,14.806867
157,1,1,T0710:49.000,430.81668,0.000000,600.0000,0,0.017882,-0.125179
157,2,3,T0720:49.000,440.81668,10.000000,600.0000,0,19.778254,14.806867
158,1,1,T0710:52.000,430.86667,0.000000,600.0000,0,0.017882,-0.125179
158,2,3,T0720:52.000,440.86667,10.000000,600.0000,0,19.778254,14.806867
159,1,1,T0710:52.249,430.87082,0.000000,600.7507,3,0.017882,-0.125179
159,2,3,T0720:53.000,440.88333,10.012512,600.0000,0,19.778254,14.806867
160,1,1,T0710:55.499,430.92499,0.000000,600.0000,0,0.017882,-0.125179
160,2,3,T0720:55.499,440.92499,10.000000,600.0000,0,19.778254,14.806867
161,1,1,T0710:58.749,430.97916,0.000000,600.0000,0,0.017882,-0.125179
161,2,3,T0720:58.749,440.97916,10.000000,600.0000,0,19.778254,14.806867
162,1,1,T0710:59.000,430.98334,0.000000,600.0000,0,0.017882,-0.125179
162,2,3,T0720:59.000,440.98334,10.000000,600.0000,0,19.778254,14.806867
163,1,1,T0711:02.250,431.03751,0.000000,600.0000,0,0.017882,-0.125179
163,2,3,T0721:02.250,441.03751,10.000000,600.0000,0,19.778254,14.806867
164,1,1,T0711:05.500,431.09167,0.000000,600.0000,0,0.017882,-0.125179
164,2,3,T0721:05.500,441.09167,10.000000,600.0000,0,19.778254,14.806867
