service_id,date,exception_type
PHW-Sunday-12-2004-PHW-0000001,20201004,1
SKYT-7-days-1-SKYT-1111111,20201004,1
VMLR-Sunday-19-2001-VMLR-0000001,20201004,1
VMTM-Sunday-4-2007-VMTM-0000001,20201004,1
VMW-Weekend-1-2007-VMW-0000011,20201004,1
GUS1-Weekday-1-1904-GL-1111100,20201005,1
GUS2GUS3-Weekday-1-1904-GL-1111100,20201005,1
Local-Weekday-2-2007-PHNS-1111100,20201005,1
RAPID-Weekday-2-2007-PHNS-1111100,20201005,1
Local-Weekday-12-2004-PHW-1111100,20201005,1
SC-Weekday-3-2004-SC-1111100,20201005,1
SKYT-7-days-1-SKYT-1111111,20201005,1
VMLR-M-Tu-W-Th-19-2001-VMLR-1111000,20201005,1
VMRU-Weekday-2-1910-VMRU-1111100,20201005,1
Express-Weekday-4-2007-VMTM-1111100,20201005,1
FLSH-Weekday-4-2007-VMTM-1111100,20201005,1
Local-Weekday-4-2007-VMTM-1111100,20201005,1
School-Weekday-4-2007-VMTM-1101100,20201005,1
School-Weekday-4-2007-VMTM-1111000,20201005,1
Express-Weekday-1-2007-VMW-1111100,20201005,1
Local-Weekday-1-2007-VMW-1111100,20201005,1
GUS1-Weekday-1-1904-GL-1111100,20201006,1
GUS2GUS3-Weekday-1-1904-GL-1111100,20201006,1
Local-Weekday-2-2007-PHNS-1111100,20201006,1
RAPID-Weekday-2-2007-PHNS-1111100,20201006,1
Local-Weekday-12-2004-PHW-1111100,20201006,1
SC-Weekday-3-2004-SC-1111100,20201006,1
SKYT-7-days-1-SKYT-1111111,20201006,1
VMLR-M-Tu-W-Th-19-2001-VMLR-1111000,20201006,1
VMRU-Weekday-2-1910-VMRU-1111100,20201006,1
Express-Weekday-4-2007-VMTM-1111100,20201006,1
FLSH-Weekday-4-2007-VMTM-1111100,20201006,1
Local-Weekday-4-2007-VMTM-1111100,20201006,1
School-Weekday-4-2007-VMTM-1101100,20201006,1
School-Weekday-4-2007-VMTM-1111000,20201006,1
Express-Weekday-1-2007-VMW-1111100,20201006,1
Local-Weekday-1-2007-VMW-1111100,20201006,1
GUS1-Weekday-1-1904-GL-1111100,20201007,1
GUS2GUS3-Weekday-1-1904-GL-1111100,20201007,1
Local-Weekday-2-2007-PHNS-1111100,20201007,1
RAPID-Weekday-2-2007-PHNS-1111100,20201007,1
Local-Weekday-12-2004-PHW-1111100,20201007,1
SC-Weekday-3-2004-SC-1111100,20201007,1
SKYT-7-days-1-SKYT-1111111,20201007,1
VMLR-M-Tu-W-Th-19-2001-VMLR-1111000,20201007,1
VMRU-Weekday-2-1910-VMRU-1111100,20201007,1
Express-Weekday-4-2007-VMTM-1111100,20201007,1
FLSH-Weekday-4-2007-VMTM-1111100,20201007,1
Local-Weekday-4-2007-VMTM-1111100,20201007,1
School-Weekday-4-2007-VMTM-0010000,20201007,1
School-Weekday-4-2007-VMTM-1111000,20201007,1
Express-Weekday-1-2007-VMW-1111100,20201007,1
Local-Weekday-1-2007-VMW-1111100,20201007,1
GUS1-Weekday-1-1904-GL-1111100,20201008,1
GUS2GUS3-Weekday-1-1904-GL-1111100,20201008,1
Local-Weekday-2-2007-PHNS-1111100,20201008,1
RAPID-Weekday-2-2007-PHNS-1111100,20201008,1
Local-Weekday-12-2004-PHW-1111100,20201008,1
SC-Weekday-3-2004-SC-1111100,20201008,1
SKYT-7-days-1-SKYT-1111111,20201008,1
VMLR-M-Tu-W-Th-19-2001-VMLR-1111000,20201008,1
VMRU-Weekday-2-1910-VMRU-1111100,20201008,1
Express-Weekday-4-2007-VMTM-1111100,20201008,1
FLSH-Weekday-4-2007-VMTM-1111100,20201008,1
Local-Weekday-4-2007-VMTM-1111100,20201008,1
School-Weekday-4-2007-VMTM-1101100,20201008,1
School-Weekday-4-2007-VMTM-1111000,20201008,1
Express-Weekday-1-2007-VMW-1111100,20201008,1
Local-Weekday-1-2007-VMW-1111100,20201008,1
GUS1-Weekday-1-1904-GL-1111100,20201009,1
GUS2GUS3-Weekday-1-1904-GL-1111100,20201009,1
Local-Weekday-2-2007-PHNS-1111100,20201009,1
