link_id,name,from_node_id,to_node_id,facility_type,link_type,dir_flag,length,lanes,free_speed,capacity,main_node_id,movement_str,NEMA_phase_number,geometry,
,TP:LDS->HUD,683,1188,,1,1,2.65566,1,65.0,1900.0,,,,"LINESTRING (-1.751900 53.668480, -1.784690 53.648500)"
,LO:WFJ->EUS,2415,2413,,1,1,0.83175,1,65.0,1900.0,,,,"LINESTRING (-0.395930 51.663910, -0.391710 51.652650)"
,LO:WFJ->EUS,2413,345,,1,1,0.68624,1,65.0,1900.0,,,,"LINESTRING (-0.391710 51.652650, -0.384750 51.645580)"
,LO:WFJ->EUS,345,570,,1,1,1.19462,1,65.0,1900.0,,,,"LINESTRING (-0.384750 51.645580, -0.385940 51.628350)"
,LO:WFJ->EUS,570,1179,,1,1,1.77569,1,65.0,1900.0,,,,"LINESTRING (-0.385940 51.628350, -0.368600 51.609420)"
,LO:WFJ->EUS,1179,1052,,1,1,0.91592,1,65.0,1900.0,,,,"LINESTRING (-0.368600 51.609420, -0.357220 51.602650)"
,LO:WFJ->EUS,1052,1167,,1,1,1.72629,1,65.0,1900.0,,,,"LINESTRING (-0.357220 51.602650, -0.334570 51.592170)"
,LO:WFJ->EUS,1167,1310,,1,1,1.41241,1,65.0,1900.0,,,,"LINESTRING (-0.334570 51.592170, -0.316980 51.581800)"
,LO:WFJ->EUS,1310,2136,,1,1,0.99499,1,65.0,1900.0,,,,"LINESTRING (-0.316980 51.581800, -0.308460 51.570210)"
,LO:WFJ->EUS,2136,1697,,1,1,0.61082,1,65.0,1900.0,,,,"LINESTRING (-0.308460 51.570210, -0.303980 51.562600)"
,LO:WFJ->EUS,1697,2470,,1,1,0.88168,1,65.0,1900.0,,,,"LINESTRING (-0.303980 51.562600, -0.296430 51.552330)"
,LO:WFJ->EUS,2470,1988,,1,1,1.53417,1,65.0,1900.0,,,,"LINESTRING (-0.296430 51.552330, -0.275830 51.544110)"
,LO:WFJ->EUS,1988,1054,,1,1,1.36765,1,65.0,1900.0,,,,"LINESTRING (-0.275830 51.544110, -0.257670 51.536290)"
,LO:WFJ->EUS,1054,2442,,1,1,0.94463,1,65.0,1900.0,,,,"LINESTRING (-0.257670 51.536290, -0.244550 51.532500)"
,LO:WFJ->EUS,2442,1305,,1,1,1.35287,1,65.0,1900.0,,,,"LINESTRING (-0.244550 51.532500, -0.225090 51.530540)"
,LO:WFJ->EUS,1305,1867,,1,1,1.41111,1,65.0,1900.0,,,,"LINESTRING (-0.225090 51.530540, -0.204980 51.533970)"
,LO:WFJ->EUS,1867,1253,,1,1,0.91049,1,65.0,1900.0,,,,"LINESTRING (-0.204980 51.533970, -0.192240 51.537280)"
,LO:WFJ->EUS,1253,2134,,1,1,0.96768,1,65.0,1900.0,,,,"LINESTRING (-0.192240 51.537280, -0.178880 51.541430)"
,LO:WFJ->EUS,2134,831,,1,1,3.24294,1,65.0,1900.0,,,,"LINESTRING (-0.178880 51.541430, -0.133920 51.528140)"
,LO:EUS->WFJ,831,2134,,1,1,3.24294,1,65.0,1900.0,,,,"LINESTRING (-0.133920 51.528140, -0.178880 51.541430)"
,LO:EUS->WFJ,2134,1253,,1,1,0.96768,1,65.0,1900.0,,,,"LINESTRING (-0.178880 51.541430, -0.192240 51.537280)"
,LO:EUS->WFJ,1253,1867,,1,1,0.91049,1,65.0,1900.0,,,,"LINESTRING (-0.192240 51.537280, -0.204980 51.533970)"
,LO:EUS->WFJ,1867,1305,,1,1,1.41111,1,65.0,1900.0,,,,"LINESTRING (-0.204980 51.533970, -0.225090 51.530540)"
,LO:EUS->WFJ,1305,2442,,1,1,1.35287,1,65.0,1900.0,,,,"LINESTRING (-0.225090 51.530540, -0.244550 51.532500)"
,LO:EUS->WFJ,2442,1054,,1,1,0.94463,1,65.0,1900.0,,,,"LINESTRING (-0.244550 51.532500, -0.257670 51.536290)"
,LO:EUS->WFJ,1054,1988,,1,1,1.36765,1,65.0,1900.0,,,,"LINESTRING (-0.257670 51.536290, -0.275830 51.544110)"
,LO:EUS->WFJ,1988,2470,,1,1,1.53417,1,65.0,1900.0,,,,"LINESTRING (-0.275830 51.544110, -0.296430 51.552330)"
