od_no,o_zone_id,d_zone_id,o_sindex,d_sindex,o_district_id,d_district_id,agent_type,demand_period,volume,connectivity_flag,s_x_coord,s_y_coord,t_x_coord,t_y_coord,path_FF_travel_time_min,distance_km,distance_mile,OD0,OD1,OD2,OD3,OD4,OD5,OD6,OD7,OD8,OD9,OD10,OD11,OD12,OD13,OD14,OD15,OD16,OD17,OD18,OD19,
44,1,23,0,22,0,0,dms,AM,12.00,1,-111.942300,40.624038,-111.902492,40.575680,9.6589,9.1486,5.6859,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
45,1,24,0,23,0,0,p,AM,67.56,1,-111.942300,40.624038,-111.907451,40.592344,7.7174,6.4428,4.0043,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
46,1,24,0,23,0,0,dms,AM,67.56,1,-111.942300,40.624038,-111.907451,40.592344,7.7174,6.4428,4.0043,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
47,1,25,0,24,0,0,p,AM,4.60,1,-111.942300,40.624038,-111.923428,40.584054,5.9887,6.0135,3.7374,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
48,1,25,0,24,0,0,dms,AM,4.60,1,-111.942300,40.624038,-111.923428,40.584054,5.9887,6.0135,3.7374,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
49,1,26,0,25,0,0,p,AM,9.07,1,-111.942300,40.624038,-111.921418,40.591609,4.9666,4.8102,2.9896,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
50,1,26,0,25,0,0,dms,AM,9.07,1,-111.942300,40.624038,-111.921418,40.591609,4.9666,4.8102,2.9896,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
51,1,27,0,26,0,0,p,AM,13.99,1,-111.942300,40.624038,-111.943605,40.584092,4.9091,5.1369,3.1926,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
52,1,27,0,26,0,0,dms,AM,13.99,1,-111.942300,40.624038,-111.943605,40.584092,4.9091,5.1369,3.1926,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
53,1,28,0,27,0,0,p,AM,20.71,1,-111.942300,40.624038,-111.911824,40.577722,7.6039,7.6830,4.7750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
54,1,28,0,27,0,0,dms,AM,20.71,1,-111.942300,40.624038,-111.911824,40.577722,7.6039,7.6830,4.7750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
55,1,30,0,29,0,0,p,AM,8.87,1,-111.942300,40.624038,-111.901834,40.584029,8.2068,7.9883,4.9648,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
56,1,30,0,29,0,0,dms,AM,8.87,1,-111.942300,40.624038,-111.901834,40.584029,8.2068,7.9883,4.9648,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
57,1,31,0,30,0,0,p,AM,27.68,1,-111.942300,40.624038,-111.944074,40.606326,2.8503,2.7633,1.7174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
