route_id,agency_id,route_short_name,route_long_name,route_type,route_text_color,route_color,route_url,route_desc
953,LE,LE:LST->CLT,LE train service from LST to CLT,2,,,,Train. Standard class only. Reservation not possible
113435,LE,LE:LST->WON,LE train service from LST to WON,2,,,,Train. Standard class only. Reservation not possible
131736,LE,LE:LST->COL,LE train service from LST to COL,2,,,,Train. Standard class only. Reservation not possible
980,LE,LE:LST->NRW,LE train service from LST to NRW,2,,,,Train. First class available. Reservation possible
92896,LE,LE:LST->IPS,LE train service from LST to IPS,2,,,,Train. First class available. Reservation possible
170357,LE,LE:IPS->NRW,LE train service from IPS to NRW,2,,,,Train. First class available. Reservation possible
170362,LE,LE:MNG->IPS,LE train service from MNG to IPS,2,,,,Train. Standard class only. Reservation not possible
988,LE,LE:IPS->LST,LE train service from IPS to LST,2,,,,Train. Standard class only. Reservation not possible
170366,LE,LE:IPS->MNG,LE train service from IPS to MNG,2,,,,Train. Standard class only. Reservation not possible
266413,LE,LE:CBG->HPQ,LE train service from CBG to HPQ,2,,,,Train. Standard class only. Reservation not possible
1015,LE,LE:CBG->SSD,LE train service from CBG to SSD,2,,,,Train. Standard class only. Reservation not possible
150449,LE,LE:CMB->SSD,LE train service from CMB to SSD,2,,,,Train. Standard class only. Reservation not possible
1017,LE,LE:NRW->GYM,LE train service from NRW to GYM,2,,,,Train. Standard class only. Reservation not possible
187181,LE,LE:BDA->GYM,LE train service from BDA to GYM,2,,,,Train. Standard class only. Reservation not possible
1018,LE,LE:GYM->NRW,LE train service from GYM to NRW,2,,,,Train. Standard class only. Reservation not possible
1032,LE,LE:LWT->IPS,LE train service from LWT to IPS,2,,,,Train. Standard class only. Reservation not possible
187183,LE,LE:SAX->IPS,LE train service from SAX to IPS,2,,,,Train. Standard class only. Reservation not possible
1033,LE,LE:IPS->LWT,LE train service from IPS to LWT,2,,,,Train. Standard class only. Reservation not possible
187184,LE,LE:IPS->SAX,LE train service from IPS to SAX,2,,,,Train. Standard class only. Reservation not possible
1056,LE,LE:COL->PBO,LE train service from COL to PBO,2,,,,Train. Standard class only. Reservation not possible
92943,LE,LE:BSE->PBO,LE train service from BSE to PBO,2,,,,Train. Standard class only. Reservation not possible
150451,LE,LE:COL->ELY,LE train service from COL to ELY,2,,,,Train. Standard class only. Reservation not possible
170401,LE,LE:IPS->PBO,LE train service from IPS to PBO,2,,,,Train. Standard class only. Reservation not possible
