stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
ALX,ALXANDR,Alexandria,0,55.98508,-4.57748,,,,,Europe/London,0
AMB,AMBERGT,Ambergate,0,53.06052,-1.4807,,,,,Europe/London,0
AMF,AMMANFD,Ammanford,0,51.79597,-3.99673,,,,,Europe/London,0
AML,ACTONML,Acton Main Line,0,51.51718,-0.26676,,,,,Europe/London,0
AMM,MNCRAMM,ABRAHAM MOSSMTLK,1,0,0,,,,,Europe/London,0
AMO,MNCRAML,ASHTON MOSS MTLK,0,0,0,,,,,Europe/London,0
AMR,AMERSHM,Amersham,1,51.67421,-0.6076,,,,,Europe/London,0
AMT,ALDMSTN,Aldermaston,0,51.40196,-1.13742,,,,,Europe/London,0
AMY,AMLY,Amberley,0,50.89668,-0.54199,,,,,Europe/London,0
ANC,ANCASTR,Ancaster,0,52.98769,-0.53562,,,,,Europe/London,0
AND,ANDRSTN,Anderston,0,55.8599,-4.27098,,,,,Europe/London,0
ANF,LYNDHRD,Ashurst New Forest,0,50.88985,-1.52663,,,,,Europe/London,0
ANG,ANGMRNG,Angmering,2,50.81658,-0.48939,,,,,Europe/London,0
ANH,MNCRANC,ANCHORAGE MTLK,1,0,0,,,,,Europe/London,0
ANL,ANSL,Anniesland,1,55.88935,-4.32196,,,,,Europe/London,0
ANM,CATZANM,ANTRIM NI,0,0,0,,,,,Europe/London,0
ANN,ANNAN,Annan,0,54.98384,-3.26258,,,,,Europe/London,0
ANS,AINSDAL,Ainsdale,0,53.60203,-3.04265,,,,,Europe/London,0
ANZ,ANERLEY,Anerley,0,51.41215,-0.06589,,,,,Europe/London,0
AON,ALTON,Alton,0,51.15197,-0.96691,,,,,Europe/London,0
APB,APLYBDG,Appley Bridge,0,53.57867,-2.71925,,,,,Europe/London,0
APD,APDR,Appledore (Kent),0,51.03324,0.81634,,,,,Europe/London,0
APF,APPLEFD,Appleford,0,51.63964,-1.24214,,,,,Europe/London,0
APG,ASPLEYG,Aspley Guise,0,52.02124,-0.63233,,,,,Europe/London,0
APN,AIRP,Newcastle Airport Metro Station,0,55.03595,-1.71105,,,,,Europe/London,0
APP,APBY,Appleby,2,54.58035,-2.48669,,,,,Europe/London,0
